Date,143850.KS,195980.KS,148070.KS,153130.KS
2014-10-13,21245.0,9840.0,113450.0,102175.0
2014-10-14,21090.0,9955.0,113450.0,102175.0
2014-10-15,21170.0,9930.0,113685.0,102190.0
2014-10-16,20815.0,9810.0,113955.0,102215.0
2014-10-17,20930.0,9695.0,114190.0,102220.0
2014-10-20,21315.0,9870.0,114010.0,102230.0
2014-10-21,21390.0,9820.0,114160.0,102240.0
2014-10-22,21780.0,9835.0,114180.0,102245.0
2014-10-23,21680.0,9885.0,114495.0,102260.0
2014-10-24,21895.0,9820.0,114795.0,102265.0
2014-10-27,22045.0,9870.0,114600.0,102280.0
2014-10-28,22035.0,9805.0,114615.0,102275.0
2014-10-29,22230.0,10050.0,114655.0,102285.0
2014-10-30,22230.0,10010.0,114890.0,102310.0
2014-10-31,22400.0,10135.0,115240.0,102310.0
2014-11-03,22570.0,10145.0,115215.0,102325.0
2014-11-04,22645.0,10125.0,115420.0,102330.0
2014-11-05,22610.0,10100.0,115390.0,102355.0
2014-11-06,22735.0,9975.0,115330.0,102375.0
2014-11-07,22825.0,9885.0,115155.0,102380.0
2014-11-10,22875.0,9980.0,115060.0,102390.0
2014-11-11,22960.0,9960.0,114785.0,102385.0
2014-11-12,22970.0,9935.0,114300.0,102375.0
2014-11-13,22995.0,9950.0,114045.0,102390.0
2014-11-14,22950.0,9900.0,114245.0,102395.0
2014-11-17,22945.0,9900.0,114285.0,102405.0
2014-11-18,22985.0,9850.0,114465.0,102410.0
2014-11-19,23105.0,9880.0,114585.0,102410.0
2014-11-20,23095.0,9895.0,114800.0,102430.0
2014-11-21,23210.0,9899.330078125,114810.0,102435.0
2014-11-24,23320.0,10160.0,115025.0,102445.0
2014-11-25,23370.0,10090.0,115485.0,102450.0
2014-11-26,23355.0,10115.0,115700.0,102460.0
2014-11-27,23395.0,10160.0,115605.0,102475.0
2014-11-28,23415.0,10085.0,115980.0,102480.0
2014-12-01,23255.0,9965.0,115985.0,102490.0
2014-12-02,23195.0,9860.0,116015.0,102490.0
2014-12-03,23390.0,9825.0,115530.0,102490.0
2014-12-04,23445.0,9870.0,114670.0,102495.0
2014-12-05,23415.0,9880.0,114920.0,102500.0
2014-12-08,23450.0,9865.0,114445.0,102510.0
2014-12-09,23325.0,9740.0,114610.0,102495.0
2014-12-10,23255.0,9640.0,114560.0,102505.0
2014-12-11,22955.0,9530.0,114965.0,102520.0
2014-12-12,22960.0,9465.0,115170.0,102525.0
2014-12-15,22700.0,9325.0,115215.0,102535.0
2014-12-16,22540.0,9185.0,115435.0,102535.0
2014-12-17,22410.0,9080.0,115335.0,102550.0
2014-12-18,22815.0,9240.0,115060.0,102550.0
2014-12-19,23460.0,9435.0,114900.0,102555.0
2014-12-22,23530.0,9540.0,115250.0,102555.0
2014-12-23,23585.0,9560.0,115415.0,102570.0
2014-12-24,23650.0,9520.0,115410.0,102585.0
2014-12-26,23690.0,9535.0,115680.0,102585.0
2014-12-29,23700.0,9595.0,112665.0,100015.0
2014-12-30,23740.0,9545.0,112880.0,100030.0
2015-01-02,23385.0,9575.0,112620.0,100060.0
2015-01-05,23255.0,9505.0,112540.0,100065.0
2015-01-06,22920.0,9315.0,113290.0,100085.0
2015-01-07,22720.0,9345.0,113595.0,100100.0
2015-01-08,23150.0,9520.0,113110.0,100115.0
2015-01-09,23365.0,9685.0,113490.0,100125.0
2015-01-12,23095.0,9635.0,114245.0,100140.0
2015-01-13,23035.0,9600.0,114405.0,100150.0
2015-01-14,22840.0,9620.0,115000.0,100160.0
2015-01-15,22930.0,9585.0,114405.0,100195.0
2015-01-16,22480.0,9560.0,115185.0,100185.0
2015-01-19,22895.0,9585.0,115095.0,100185.0
2015-01-20,22965.0,9560.0,115140.0,100195.0
2015-01-21,22980.0,9680.0,115100.0,100200.0
2015-01-22,23075.0,9765.0,114775.0,100210.0
2015-01-23,23380.0,9890.0,115295.0,100215.0
2015-01-26,23155.0,9920.0,115780.0,100225.0
2015-01-27,23355.0,9890.0,115675.0,100225.0
2015-01-28,23235.0,9870.0,115995.0,100225.0
2015-01-29,22600.0,9840.0,116315.0,100245.0
2015-01-30,22930.0,9725.0,116220.0,100250.0
2015-02-02,22675.0,9605.0,116220.0,100255.0
2015-02-03,22855.0,9655.0,116550.0,100265.0
2015-02-04,23255.0,9875.0,116085.0,100275.0
2015-02-05,23075.0,9790.0,115975.0,100295.0
2015-02-06,23400.0,9825.0,115970.0,100300.0
2015-02-09,23300.0,9805.0,115780.0,100305.0
2015-02-10,23255.0,9755.0,115345.0,100315.0
2015-02-11,23470.0,9685.0,115160.0,100295.0
2015-02-12,23510.0,9610.0,115125.0,100310.0
2015-02-13,23730.0,9825.0,114950.0,100315.0
2015-02-16,23795.0,9880.0,114385.0,100330.0
2015-02-17,23755.0,9865.0,115030.0,100335.0
2015-02-23,24010.0,9825.0,114845.0,100345.0
2015-02-24,24025.0,9865.0,114710.0,100355.0
2015-02-25,24080.0,9955.0,115180.0,100360.0
2015-02-26,24040.0,9940.0,115290.0,100375.0
2015-02-27,24015.0,9940.0,115400.0,100380.0
